Symbol,Name,ISIN,exchange
GRPCOMI,Grapco Mining & Company Ltd,NA          ,BSE
GTNINDS,GTN Industries Ltd,INE537A01013,BSE
GHCL,GHCL Ltd,INE539A01019,BSE
GFLLIMITED,GFL Ltd,INE538A01037,BSE
GLFL,Gujarat Lease Financing Ltd,INE540A01017,BSE
GTCL,Gujarat Telephone Cables Ltd,INE261B01018,BSE
HAMCMIN-B,HAMCO Mining & Smelting Ltd,NA          ,BSE
HANILERA,Hanil Era Textiles Ltd,INE021D01012,BSE
HARCR,Harig Crankshafts Ltd,INE905C01034,BSE
HCL-INSYS,HCL Infosystems Ltd,INE236A01020,BSE
HDFCBANK,HDFC Bank Ltd,INE040A01034,BSE
HRBTSON-B,Herbertsons Ltd,INE546A1014 ,BSE
HEROMOTOCO,Hero MotoCorp Ltd,INE158A01026,BSE
HFCL,HFCL Ltd,INE548A01028,BSE
HSCL,Himadri Speciality Chemical Ltd,INE019C01026,BSE
HCC,Hindustan Construction Company Ltd,INE549A01026,BSE
HINDOILEXP,Hindustan Oil Exploration Company Ltd,INE345A01011,BSE
AGI,Agi Greenpac Ltd,INE415A01038,BSE
HINDZINC,Hindustan Zinc Ltd,INE267A01025,BSE
NDLVENTURE,NDL Ventures Ltd,INE353A01023,BSE
HITDRDM,Hitech Drilling Services India Ltd,INE555A01015,BSE
HMT,HMT Ltd,INE262A01018,BSE
PRAGBOS,Prag Bosimi Synthetics Ltd,INE962B01011,BSE
HLVLTD,HLV Ltd,INE102A01024,BSE
HOTLINGLAS,Hotline Glass Ltd,INE676B01017,BSE
HTSUMAG,Hytaisun Magnetics Ltd,NA          ,BSE
IBP,IBP Company Ltd,INE261A01010,BSE
IGPL,IG Petrochemicals Ltd,INE204A01010,BSE
INDIAGLYCO,India Glycols Ltd,INE560A01023,BSE
INDLEASE,India Lease Development Ltd,INE333C01013,BSE
INDPOLY,India Polyfibres Ltd,INE860C01015,BSE
INDSEC,India Securities Ltd,INE134A01035,BSE
MARGOFIN,Margo Finance Ltd,INE680B01019,BSE
INDORAMA,Indo Rama Synthetics (India) Ltd,INE156A01020,BSE
INDUNISS,Indu Nissan Oxo Chemical Industries Ltd,INE599C01019,BSE
INFY,Infosys Ltd,INE009A01021,BSE
INGERRAND,Ingersoll-Rand (India) Ltd,INE177A01018,BSE
INSILCO,Insilco Ltd,INE901A01011,BSE
IFSL,Integrated Financial Services Ltd,INE898B01017,BSE
ITHL,International Travel House Ltd-$,INE262B01016,BSE
IONEXCHANG,Ion Exchange India Ltd-$,INE570A01022,BSE
SUNDROP,Sundrop Brands Ltd,INE209A01019,BSE
ITCHOTEL,ITC Hotels Ltd,INE379A01010,BSE
ITWSGDM,ITW Signode India Ltd,INE240A01014,BSE
JKPHARMA,JK Pharmachem Ltd,INE335C01018,BSE
JISLJALEQS,Jain Irrigation Systems Ltd,INE175A01038,BSE
JASCH,Jasch Industries Ltd,INE711C01028,BSE
JPHOTEL,Jaypee Hotels Ltd,INE851A01018,BSE
JCTEL,JCT Electronics Ltd,INE264B01020,BSE
JCTLTD,JCT Ltd,INE945A01026,BSE
JNDST,JNDST,INE023A01014,BSE
CONSOFIN,Consolidated Finvest & Holdings Ltd,INE025A01027,BSE
JINDALPOLY,Jindal Poly Films Ltd,INE197D01010,BSE
JSWSTEEL,JSW Steel Ltd,INE019A01038,BSE
JINDVJY,JINDVJY,NA          ,BSE
JINDALV,JINDALV,NA          ,BSE
UMANGDAIRY,Umang Dairies Ltd,INE864B01027,BSE
JORDENG-B,Jord Engineers India Ltd,INE666F01019,BSE
KAJARIACER,Kajaria Ceramics Ltd,INE217B01036,BSE
KAKATCEM,Kakatiya Cement Sugar & Industries Ltd,INE437B01014,BSE
KSL,Kalyani Steels Ltd,INE907A01026,BSE
KANELIND,Kanel Industries Ltd,INE252C01015,BSE
